Synonym,Field,Source,Timestamp
valid until,End date,Seed,2025-04-21
good through,End date,Seed,2025-04-21
active until,End date,Seed,2025-04-21
runs until,End date,Seed,2025-04-21
closing date,End date,Seed,2025-04-21
until when,End date,Seed,2025-04-21
termination date,End date,Seed,2025-04-21
deal owner,Customer,Seed,2025-04-21
account name,Customer,Seed,2025-04-21
who purchased,Customer,Seed,2025-04-21
belongs to which client,Customer,Seed,2025-04-21
assigned to whom,Customer,Seed,2025-04-21
what's it going for,Dealer net price \n[USD],Seed,2025-04-21
contract price,Dealer net price \n[USD],Seed,2025-04-21
pricing on,Dealer net price \n[USD],Seed,2025-04-21
quote amount,Dealer net price \n[USD],Seed,2025-04-21
cost me,Dealer net price \n[USD],Seed,2025-04-21
selling for,Dealer net price \n[USD],Seed,2025-04-21
on hand,Remaining qty,Seed,2025-04-21
in inventory,Remaining qty,Seed,2025-04-21
stock level,Remaining qty,Seed,2025-04-21
units available,Remaining qty,Seed,2025-04-21
how much stock,Remaining qty,Seed,2025-04-21
inventory count,Remaining qty,Seed,2025-04-21
product line,Product family,Seed,2025-04-21
series,Product family,Seed,2025-04-21
device type,Product family,Seed,2025-04-21
equipment category,Product family,Seed,2025-04-21
product classification,Product family,Seed,2025-04-21
model type,Product family,Seed,2025-04-21what's the price,"Dealer net price 
[USD]",Seed,2025-04-21 21:30:12.120512
how much is,"Dealer net price 
[USD]",Seed,2025-04-21 21:30:12.120514
what is the price of,"Dealer net price 
[USD]",Seed,2025-04-21 21:30:12.120515
net price,"Dealer net price 
[USD]",Seed,2025-04-21 21:30:12.120516
dealer price,"Dealer net price 
[USD]",Seed,2025-04-21 21:30:12.120516
cost of,"Dealer net price 
[USD]",Seed,2025-04-21 21:30:12.120516
how many left,Remaining qty,Seed,2025-04-21 21:30:12.120517
remaining quantity,Remaining qty,Seed,2025-04-21 21:30:12.120517
stock left,Remaining qty,Seed,2025-04-21 21:30:12.120518
quantity remaining,Remaining qty,Seed,2025-04-21 21:30:12.120518
what family is,Product family,Seed,2025-04-21 21:30:12.120519
product type,Product family,Seed,2025-04-21 21:30:12.120519
what kind of,Product family,Seed,2025-04-21 21:30:12.120520
who is the customer,Customer,Seed,2025-04-21 21:30:12.120520
end user,Customer,Seed,2025-04-21 21:30:12.120521
when does it expire,End date,Seed,2025-04-21 21:30:12.120521
expiration date,End date,Seed,2025-04-21 21:30:12.120522
what's the price,"Dealer net price 
[USD]",Seed,2025-04-21 21:30:21.020048
how many do we have,Remaining qty,Seed,2025-04-22 07:31:20.265357
